"","zipcode","COUNT","RANKING","PROB"
"1","10001",1199,5,0.812330623306233
"2","10002",1308,2,0.886178861788618
"3","10003",936,11,0.634146341463415
"4","10004",724.666666666667,15,0.49096657633243
"5","10005",238,38,0.161246612466125
"6","10006",298,37,0.20189701897019
"7","10007",369,35,0.25
"8","10009",638,21,0.432249322493225
"9","10010",706,18,0.478319783197832
"10","10011",992,9,0.672086720867209
"11","10012",836,13,0.56639566395664
"12","10013",574,25,0.388888888888889
"13","10014",495,27,0.335365853658537
"14","10016",711,17,0.481707317073171
"15","10017",630,22,0.426829268292683
"16","10018",729,14,0.49390243902439
"17","10019",1031,7,0.698509485094851
"18","10021",373,34,0.252710027100271
"19","10022",863,12,0.584688346883469
"20","10023",565,26,0.382791327913279
"21","10024",596,24,0.403794037940379
"22","10025",967,10,0.655149051490515
"23","10026",1001,8,0.678184281842818
"24","10027",1179,6,0.798780487804878
"25","10028",412,33,0.279132791327913
"26","10029",1476,1,1
"27","10030",689,19,0.46680216802168
"28","10031",720,16,0.48780487804878
"29","10032",685,20,0.464092140921409
"30","10033",625,23,0.423441734417344
"31","10034",486,29,0.329268292682927
"32","10035",1211,4,0.820460704607046
"33","10036",1280,3,0.867208672086721
"34","10037",456,30,0.308943089430894
"35","10038",312,36,0.211382113821138
"36","10039",494,28,0.334688346883469
"37","10040",414,32,0.280487804878049
"38","10065",159,39,0.107723577235772
"39","10069",101,42,0.0684281842818428
"40","10075",144,40,0.0975609756097561
"41","10128",419,31,0.283875338753388
"42","10280",22,45,0.0149051490514905
"43","10282",105,41,0.0711382113821138
"44","11106",1,46,0.000677506775067751
"45","11109",42.6666666666667,44,0.028906955736224
"46","11231",49.5555555555556,43,0.0335742246311352
