"","Zipcode","Category","Count","Group"
"1",10001,"restaurant violations",380,"Safety"
"2",10002,"restaurant violations",458,"Safety"
"3",10003,"restaurant violations",607,"Safety"
"4",10004,"restaurant violations",93,"Safety"
"5",10005,"restaurant violations",52,"Safety"
"6",10006,"restaurant violations",42,"Safety"
"7",10007,"restaurant violations",112,"Safety"
"8",10009,"restaurant violations",286,"Safety"
"9",10010,"restaurant violations",223,"Safety"
"10",10011,"restaurant violations",403,"Safety"
"11",10012,"restaurant violations",391,"Safety"
"12",10013,"restaurant violations",464,"Safety"
"13",10014,"restaurant violations",373,"Safety"
"14",10016,"restaurant violations",403,"Safety"
"15",10017,"restaurant violations",277,"Safety"
"16",10018,"restaurant violations",306,"Safety"
"17",10019,"restaurant violations",568,"Safety"
"18",10021,"restaurant violations",143,"Safety"
"19",10022,"restaurant violations",383,"Safety"
"20",10023,"restaurant violations",175,"Safety"
"21",10024,"restaurant violations",184,"Safety"
"22",10025,"restaurant violations",220,"Safety"
"23",10026,"restaurant violations",80,"Safety"
"24",10027,"restaurant violations",155,"Safety"
"25",10028,"restaurant violations",188,"Safety"
"26",10029,"restaurant violations",196,"Safety"
"27",10030,"restaurant violations",36,"Safety"
"28",10031,"restaurant violations",107,"Safety"
"29",10032,"restaurant violations",106,"Safety"
"30",10033,"restaurant violations",114,"Safety"
"31",10034,"restaurant violations",97,"Safety"
"32",10035,"restaurant violations",84,"Safety"
"33",10036,"restaurant violations",505,"Safety"
"34",10037,"restaurant violations",26,"Safety"
"35",10038,"restaurant violations",176,"Safety"
"36",10039,"restaurant violations",32,"Safety"
"37",10040,"restaurant violations",73,"Safety"
"38",10065,"restaurant violations",175,"Safety"
"39",10069,"restaurant violations",3,"Safety"
"40",10075,"restaurant violations",89,"Safety"
"41",10128,"restaurant violations",143,"Safety"
"42",10280,"restaurant violations",10,"Safety"
"43",10282,"restaurant violations",10,"Safety"
"44",10001,"American",102,"Food"
"45",10002,"American",75,"Food"
"46",10003,"American",103,"Food"
"47",10004,"American",23,"Food"
"48",10005,"American",16,"Food"
"49",10006,"American",13,"Food"
"50",10007,"American",30,"Food"
"51",10009,"American",61,"Food"
"52",10010,"American",56,"Food"
"53",10011,"American",100,"Food"
"54",10012,"American",90,"Food"
"55",10013,"American",80,"Food"
"56",10014,"American",88,"Food"
"57",10016,"American",95,"Food"
"58",10017,"American",61,"Food"
"59",10018,"American",75,"Food"
"60",10019,"American",149,"Food"
"61",10021,"American",26,"Food"
"62",10022,"American",91,"Food"
"63",10023,"American",41,"Food"
"64",10024,"American",29,"Food"
"65",10025,"American",31,"Food"
"66",10026,"American",20,"Food"
"67",10027,"American",31,"Food"
"68",10028,"American",35,"Food"
"69",10029,"American",25,"Food"
"70",10030,"American",6,"Food"
"71",10031,"American",12,"Food"
"72",10032,"American",17,"Food"
"73",10033,"American",8,"Food"
"74",10034,"American",16,"Food"
"75",10035,"American",11,"Food"
"76",10036,"American",154,"Food"
"77",10037,"American",4,"Food"
"78",10038,"American",41,"Food"
"79",10039,"American",2,"Food"
"80",10040,"American",10,"Food"
"81",10065,"American",35,"Food"
"82",10069,"American",1,"Food"
"83",10075,"American",16,"Food"
"84",10128,"American",31,"Food"
"85",10280,"American",1,"Food"
"86",10282,"American",2,"Food"
"87",10001,"Chinese",3,"Food"
"88",10002,"Chinese",62,"Food"
"89",10003,"Chinese",16,"Food"
"90",10004,"Chinese",17,"Food"
"91",10005,"Chinese",18.1666666666667,"Food"
"92",10006,"Chinese",3,"Food"
"93",10007,"Chinese",1,"Food"
"94",10009,"Chinese",10,"Food"
"95",10010,"Chinese",5,"Food"
"96",10011,"Chinese",11,"Food"
"97",10012,"Chinese",6,"Food"
"98",10013,"Chinese",53,"Food"
"99",10014,"Chinese",4,"Food"
"100",10016,"Chinese",9,"Food"
"101",10017,"Chinese",5,"Food"
"102",10018,"Chinese",11,"Food"
"103",10019,"Chinese",14,"Food"
"104",10021,"Chinese",3,"Food"
"105",10022,"Chinese",7,"Food"
"106",10023,"Chinese",4,"Food"
"107",10024,"Chinese",4,"Food"
"108",10025,"Chinese",15,"Food"
"109",10026,"Chinese",3,"Food"
"110",10027,"Chinese",9,"Food"
"111",10028,"Chinese",5,"Food"
"112",10029,"Chinese",19,"Food"
"113",10030,"Chinese",2,"Food"
"114",10031,"Chinese",7,"Food"
"115",10032,"Chinese",8,"Food"
"116",10033,"Chinese",5,"Food"
"117",10034,"Chinese",3,"Food"
"118",10035,"Chinese",6,"Food"
"119",10036,"Chinese",11,"Food"
"120",10037,"Chinese",3,"Food"
"121",10038,"Chinese",11,"Food"
"122",10039,"Chinese",4,"Food"
"123",10040,"Chinese",2,"Food"
"124",10065,"Chinese",3,"Food"
"125",10069,"Chinese",3,"Food"
"126",10075,"Chinese",3,"Food"
"127",10128,"Chinese",5,"Food"
"128",10280,"Chinese",1,"Food"
"129",10282,"Chinese",3,"Food"
"130",10001,"Italian",8,"Food"
"131",10002,"Italian",9,"Food"
"132",10003,"Italian",24,"Food"
"133",10004,"Italian",5,"Food"
"134",10005,"Italian",9.4,"Food"
"135",10006,"Italian",9.23333333333333,"Food"
"136",10007,"Italian",2,"Food"
"137",10009,"Italian",7,"Food"
"138",10010,"Italian",8,"Food"
"139",10011,"Italian",25,"Food"
"140",10012,"Italian",29,"Food"
"141",10013,"Italian",43,"Food"
"142",10014,"Italian",28,"Food"
"143",10016,"Italian",18,"Food"
"144",10017,"Italian",7,"Food"
"145",10018,"Italian",10,"Food"
"146",10019,"Italian",29,"Food"
"147",10021,"Italian",13,"Food"
"148",10022,"Italian",25,"Food"
"149",10023,"Italian",12,"Food"
"150",10024,"Italian",14,"Food"
"151",10025,"Italian",7,"Food"
"152",10026,"Italian",2,"Food"
"153",10027,"Italian",3,"Food"
"154",10028,"Italian",13,"Food"
"155",10029,"Italian",5,"Food"
"156",10030,"Italian",5.4,"Food"
"157",10031,"Italian",5,"Food"
"158",10032,"Italian",1,"Food"
"159",10033,"Italian",6.73333333333333,"Food"
"160",10034,"Italian",2,"Food"
"161",10035,"Italian",2,"Food"
"162",10036,"Italian",25,"Food"
"163",10037,"Italian",8.75,"Food"
"164",10038,"Italian",6,"Food"
"165",10039,"Italian",12.6875,"Food"
"166",10040,"Italian",9.2875,"Food"
"167",10065,"Italian",11,"Food"
"168",10069,"Italian",10.195,"Food"
"169",10075,"Italian",8,"Food"
"170",10128,"Italian",10,"Food"
"171",10280,"Italian",9.39833333333333,"Food"
"172",10282,"Italian",9.13277777777778,"Food"
"173",10001,"Japanese",10,"Food"
"174",10002,"Japanese",18,"Food"
"175",10003,"Japanese",51,"Food"
"176",10004,"Japanese",2,"Food"
"177",10005,"Japanese",16.6,"Food"
"178",10006,"Japanese",14.9333333333333,"Food"
"179",10007,"Japanese",3,"Food"
"180",10009,"Japanese",9,"Food"
"181",10010,"Japanese",8,"Food"
"182",10011,"Japanese",23,"Food"
"183",10012,"Japanese",20,"Food"
"184",10013,"Japanese",15,"Food"
"185",10014,"Japanese",17,"Food"
"186",10016,"Japanese",22,"Food"
"187",10017,"Japanese",19,"Food"
"188",10018,"Japanese",6,"Food"
"189",10019,"Japanese",19,"Food"
"190",10021,"Japanese",9,"Food"
"191",10022,"Japanese",14,"Food"
"192",10023,"Japanese",2,"Food"
"193",10024,"Japanese",4,"Food"
"194",10025,"Japanese",2,"Food"
"195",10026,"Japanese",4.33333333333333,"Food"
"196",10027,"Japanese",6,"Food"
"197",10028,"Japanese",11,"Food"
"198",10029,"Japanese",1,"Food"
"199",10030,"Japanese",4.4,"Food"
"200",10031,"Japanese",2,"Food"
"201",10032,"Japanese",2.28,"Food"
"202",10033,"Japanese",2,"Food"
"203",10034,"Japanese",3.856,"Food"
"204",10035,"Japanese",2,"Food"
"205",10036,"Japanese",11,"Food"
